"wellcol","plate","area","greenness","num_of_particles","circularity","major_axis_length","minor_axis_length","ferret_number"
"c08",1,8696.8,0.45232156117191,2.4,0.608820589926477,94.8370685582498,56.8319762842055,1.61333723645942
"b08",1,10711.4,0.501790677490281,1,0.240174519005904,156.28548870138,109.918785739863,1.42553314208486
"a08",1,8975,0.452194444845141,1.4,Inf,139.903844972876,78.9020108394181,201.676897454771
"h07",1,8255.2,0.493541774589508,1,0.363297099332359,171.790741917325,88.1549394853875,1.94872554632525
"g07",1,6565,0.499745057484912,1.2,0.406958292518639,133.303167583302,73.7058472596873,1.81983046603242
"f07",1,6271.8,0.489412142942265,1,0.483696187334279,147.550237256605,68.5325099022996,2.15307102041068
"e07",1,5079.2,0.539076536674568,2,0.668197243446927,75.6439176442085,46.8729571346262,1.61528395185933
"d07",1,7732.4,0.559825973045938,1,0.411407784290071,152.389043016524,81.6104170369622,1.86778752608229
"c07",1,7868.6,0.412013716214786,1.8,0.552226448741943,101.364655602113,65.7059449221213,1.6287854015262
"b07",1,7065.2,0.500015978327665,1.2,0.391437587299749,146.396223219459,69.4680817115043,2.07306783452777
"a07",1,7614.6,0.455668067584807,1.8,0.324055475870422,112.716039199265,68.0554866142975,1.82458121185517
"h06",1,6453.2,0.440872309998992,1,0.490556505804041,148.528003189678,65.1558441271563,2.27968078150683
"g06",1,8468.2,0.435416927793921,1,0.371044777816887,149.139675800598,94.2642488851945,1.58235468367824
"f06",1,9951.4,0.459725047219707,2,0.618009615525885,116.846108050285,57.666120829699,2.02533597942761
"e06",1,5641.6,0.440097890625327,2,0.732356593421064,72.3427341939638,53.432387821558,1.35493190893326
"d06",1,7780.8,0.474534064120307,1,0.347622323713152,124.895970332533,90.8924060442479,1.3742604514959
"c06",1,3226.2,0.39707064826065,1,0.587419322869454,97.7050075792959,45.6344959764358,2.14123978447927
"b06",1,7952,0.454226197080338,1,0.21244571265593,133.489566244532,107.736827483406,1.23932073604301
"a06",1,7500.2,0.431644389070298,2.8,0.500766500847624,96.4101765292893,41.1388568032759,2.67541319786251
"h05",1,5308.2,0.492017023389019,1.4,0.488020236003809,96.3290114142787,66.472426439099,1.44325727077642
"g05",1,6080.2,0.456011971827959,2,0.720385980251918,73.9989662661901,57.9335904815659,1.26851422718486
"f05",1,6676.8,0.458393792523718,1,0.51639950647266,118.659481168477,81.2263143860717,1.4609398943051
"e05",1,6659.2,0.505803909597714,1.2,0.420547064097385,118.576918753683,82.4153977867305,1.43628759317009
"d05",1,6705.2,0.435803754913161,1,0.524359651245676,115.810553556238,83.591514383041,1.38555135572304
"c05",1,4713.4,0.452697520012561,1,0.551054108330394,108.671713277102,61.9917435588287,1.75325677693299
"b05",1,12040.6,0.505941184995979,1.2,Inf,156.070435688911,93.1453953895639,201.506507342123
"a05",1,7754.4,0.529349103278154,3.8,0.813712271316469,88.4509659096009,38.6519084975536,2.28558282042963
"h04",1,9170,0.477277741699639,1,0.67585609255202,126.760111870694,96.3887933392586,1.31506751074969
"g04",1,5663.6,0.494579719328947,1,0.470984964862628,100.859444180739,81.4045760479391,1.23896298245517
"f04",1,3549.4,0.47398397295129,1,0.678396406067218,77.4584373425086,61.7349305354181,1.25467340697908
"e04",1,5490,0.452822564480672,1,0.61236124796283,104.57267047956,73.1286305678962,1.42997235047304
"d04",1,5815.2,0.48693667865872,1.6,0.520398797935448,107.651429875219,56.9294965483022,1.86858988900749
"c04",1,8394.2,0.467968317604678,1,0.507771547055255,126.423215926596,102.871617425002,1.22895676061079
"b04",1,11902,0.522690205736226,1,0.272372619821316,172.512779493909,105.428000617774,1.65002232664553
"a04",1,7928.2,0.504349275959967,2.8,0.653589361170765,75.4344833477506,49.6183378447597,1.57327386609097
"h03",1,6553.2,0.469713897881323,1.4,0.454538885443379,105.105053102102,74.7735394604058,1.5077782808827
"g03",1,9416.4,0.439721450772392,1,0.596719821932342,133.847452043659,96.7259549229331,1.38379814135688
"f03",1,8369.8,0.483056058948041,1,0.324030919094378,128.403783447679,104.831252720339,1.22488822729363
"e03",1,5814.6,0.437638518844983,1,0.495509945888883,119.683247677218,70.9743266183892,1.6862699272389
"d03",1,7638.8,0.454964661594362,1,0.306003986456574,143.321407177356,103.585355560889,1.38360978518946
"c03",1,5348.2,0.455100549253055,2,0.715451846713386,76.9185730864216,48.7617488234314,1.56473921574019
"b03",1,2805.4,0.400037222019858,1,0.71597270001489,67.4771363944624,58.7968399442073,1.14773528072437
"a03",1,5481.6,0.453128332928021,1.8,0.46642036397916,82.4095162646801,58.9221812415696,1.46624511538461
"h02",1,6761,0.491141670644639,1,0.501401560288123,115.263354388723,81.5218910213376,1.41389302274938
"g02",1,8880.8,0.472554723820357,1,0.4817926784647,117.365400944899,109.583049779146,1.07103038258872
"f02",1,7006.8,0.47651113367036,1,0.479359966970705,115.653684880271,91.0425053510278,1.27045712200673
"e02",1,8746.6,0.452876384868508,1,0.589453084872615,115.626509387986,100.58833609468,1.14967407470087
"d02",1,8988.6,0.478919690168881,1,0.333322996648442,142.173964199113,111.977239818728,1.26981737074325
"c02",1,4982.6,0.457989623476528,1,0.482806844991562,121.421250575619,69.5355503224754,1.74629719890427
"b02",1,5551.8,0.549710263697651,1.8,0.515941656326477,90.3380815023737,58.6107083222023,1.57517819821424
"a02",1,5377.2,0.410935402825339,1.4,0.646265169147515,112.288219299551,52.5600702006734,2.14670697524282
"h01",1,5450,0.442438916668853,1,0.715096245108891,98.4091782916008,73.0841099034859,1.34652591548984
"g01",1,7415.8,0.480051554820799,1,0.442919738121754,124.5096061016,87.7684148087253,1.42318269698789
"f01",1,5651.4,0.437581690599979,1,0.736972049860879,106.026169940816,69.9611158574041,1.51552407792449
"e01",1,3191.6,0.447247938555317,1,0.734327429477815,71.322646166679,60.6442599956234,1.17610583150612
"d01",1,6583.2,0.463140262407474,1,0.409740238373437,146.220636583265,69.6454868985483,2.09966047241425
"c01",1,7110.2,0.454868088966469,1,0.414666417351465,133.631351001119,97.8861075542,1.3651651165075
"b01",1,8194.4,0.49872154162668,1.6,0.591367646866387,112.882599007734,63.410094888605,1.79285728945003
"a01",1,4126.8,0.437884735825854,1,0.661800463768374,94.6705807913407,59.7208875402331,1.58545883266239
"h12",2,8527.8,0.414022467719498,1,0.443878227915687,122.882508663623,102.303764517816,1.20124719954513
"g12",2,11828,0.449852120359615,1,0.349535974517602,161.897939737696,107.716765927443,1.50394910966817
"f12",2,6888,0.391880664551842,1,0.379830988305399,135.646722780006,78.963762898459,1.71830141422229
"e12",2,462,0.333017165091388,0.8,0.514978740755647,30.5238554738871,17.0300511759461,1.51808760491805
"d12",2,5707.2,0.379309331528136,2,0.687595183786811,77.596726250398,44.771744350826,1.67909800085356
"c12",2,4546.2,0.394353894382229,1,0.529304536705999,103.434761813728,70.2105928947513,1.47322047776432
"b12",2,6013.2,0.436344737881618,1.2,0.496874884816832,120.240001498287,71.1742023858195,1.67091326863975
"a12",2,7592.8,0.446190078427707,1,0.449605837196378,139.465338514745,84.3938620725992,1.65265507710294
"h11",2,8405.2,0.440109174935416,1,0.2599385700129,157.165976570579,88.3187123502098,1.78011808109674
"g11",2,789,0.206905523001481,0.6,0.405718245414685,12.8235188121207,7.7551643273791,0.817598174468925
"f11",2,8412.8,0.461920698827578,1,0.325602300942125,137.526980705185,105.513208338685,1.30365980872938
"e11",2,0,0,0,0,0,0,0
"d11",2,4986.8,0.437895586819807,2,0.677436402271299,71.8454595982661,49.2821296278068,1.51693563802596
"c11",2,6318.4,0.41884630536817,2,0.548122484404777,91.5100000221377,52.6827952534885,1.75799473834823
"b11",2,7335.8,0.444369091629744,1,0.277006112015449,150.043264678157,88.274311425327,1.699843640159
"a11",2,8220,0.43301667245194,1,0.396594642585672,138.68612524245,92.7306400960906,1.49556224360842
"h10",2,8087.6,0.542286889266071,1.6,0.364395913562417,131.123844010034,73.5173457266444,2.13916093093465
"g10",2,6807.2,0.481290806046222,1,0.5245209217214,109.559317966175,87.1841376445643,1.25669390938666
"f10",2,4535,0.39592945185226,1,0.376370430679159,119.107226955551,57.1345060855865,2.08545829416679
"e10",2,6932.8,0.433740344639246,2,0.572098263495372,96.4309283034326,54.9827632401405,1.75491920166008
"d10",2,6117.6,0.429664241493067,2,0.572209026165294,93.9860910922708,48.8702816179197,1.92026125474184
"c10",2,4936.2,0.396582772383776,2,0.71136942328162,74.134892351488,45.219062819506,1.64483842689302
"b10",2,2759.6,0.488668967163283,1.6,0.798580266036707,59.7166671045903,35.0142451108769,1.66221156938229
"a10",2,2771.2,0.456105224935765,1,0.469405057973309,95.0659600728379,44.5826432671776,2.13173748349435
"h09",2,6487.4,0.44680229298491,1,0.321693139414697,128.317377437395,86.7550092177656,1.51675784772824
"g09",2,4572,0.42208355655541,1.4,0.686440291482162,75.4148213023939,55.2538825211182,1.69562106376395
"f09",2,5968.8,0.446501146962399,2,0.641886221757123,85.270412305926,49.1147742244693,1.75532130319791
"e09",2,7342.4,0.460961447396745,2,0.652567737184357,94.1339588745878,55.3452860368072,1.69990809033202
"d09",2,5920.8,0.449707601390641,2,0.677626177528259,84.5315793484503,48.0123570889911,1.76178896810109
"c09",2,6300.4,0.43180720416297,1,0.371090089822252,147.348818733242,72.1661265110129,2.04198124862751
"b09",2,6039.4,0.440965125638112,2,0.629987252346531,80.3108289161202,54.1753890320068,1.49629654789818
"a09",2,5519.2,0.409087171842491,2,0.724027709498349,66.9344838128669,57.0529580965786,1.18807014005339
"h08",2,11335.2,0.46817987136954,1,0.233691743163344,174.917115390041,128.487333726061,1.3646971114842
"g08",2,9137.8,0.507056201707682,1.2,Inf,120.60725331463,90.8356514785993,201.192728764959
"f08",2,5089.2,0.447537003246836,1,0.417539213672336,139.006449550922,64.3952474243677,2.15857243539341
"e08",2,7274,0.450813415991528,1,0.371073354435338,140.64373003538,87.5921647927839,1.60628188826192
"d08",2,8129.6,0.50325872505548,1,0.499503724269651,114.584555231304,99.9199790312312,1.14673452581236
"c08",2,6182.6,0.459323499706817,1,0.406181294793255,109.888949716448,86.0719351380986,1.27699693046475
"b08",2,5037,0.389011314733048,1,0.635036504677994,103.1187543669,68.9117428359861,1.49641897236722
"a08",2,8790.4,0.418930300017547,1,0.64659814592709,116.119005596027,100.458867922098,1.15593510885469
"h07",2,10022.2,0.477352951522674,1,0.248619104146593,158.35185891774,122.746349456686,1.29001538993082
"g07",2,4895.4,0.455436463854425,1,0.463988175322123,127.453551416539,55.9129823746868,2.28002484990115
"f07",2,7004,0.444728915296172,1,0.443950748273968,141.955077111066,82.4074854447812,1.72264088691253
"e07",2,6897.8,0.457660245015031,1,0.440804551129993,143.135276605419,86.3819592835247,1.6571081779246
"d07",2,5394.6,0.494962143360302,1,0.53834075198123,107.91385307037,72.9031918455407,1.48033096677388
"c07",2,6850.8,0.490765096705739,2,0.569870894617359,100.492579407698,47.8042403385611,2.1276943641258
"b07",2,7511,0.486955864124646,1.2,0.377537287348838,122.229282404175,83.3430381995568,1.47925577317012
"a07",2,6123.8,0.440499707166897,1.6,0.55057211982559,90.0730245470127,57.5087908127378,1.86211982279019
"h06",2,8700.2,0.46494998680926,1.2,0.323802732267165,156.186627815765,89.520422048246,2.29132745055264
"g06",2,11077.8,0.443912209146907,1,0.370778316867725,146.453498804081,110.117344906069,1.33045355713882
"f06",2,9177.6,0.393789338421836,1,0.446210311092699,152.347958375126,87.5984098192568,1.73908985150776
"e06",2,5915.8,0.394839354210862,1,0.531556423766541,117.117156913215,78.4277965918044,1.49335398907467
"d06",2,7621.8,0.461427263035397,2,0.492086469154594,97.3480348875774,57.0865865789688,1.71097053311188
"c06",2,9645.2,0.465016473624531,1.2,0.336580311110648,127.123696142713,105.074830584204,1.26307670267828
"b06",2,7527.2,0.44208180028528,1,0.535844891287645,119.182524875909,94.2609292264997,1.26447829399482
"a06",2,6436,0.46280747806185,2.4,0.623023926185309,82.8986152704781,39.5257948991135,2.0536072689723
"h05",2,10861,0.514662409684777,1.2,0.343250546658256,145.872127544865,118.624848216547,1.40557576171009
