"wellcol","plate","area","greenness","num_of_particles","circularity","major_axis_length","minor_axis_length","ferret_number"
"f12",7,4833.2,0.382318670304017,2.4,0.643633717662282,57.3071558099151,29.8407975107818,2.93686595761264
"e12",7,3372.2,0.341380567786709,2.2,0.762759521187178,48.0898614128393,31.0031344866035,1.65589048350869
"d12",7,5136,0.3543096274504,2,0.565362749834292,66.8678907667732,37.3060847609945,2.94859206522168
"c12",7,8609.4,0.426770867782327,1,0.335545740236004,145.399751468805,89.0822209664583,1.63216603667061
"b12",7,9278.2,0.413796602272662,1,0.392671618655646,146.900930764193,88.961365201133,1.65134828938072
"a12",7,681,0.292875065699219,0.6,0.398048663989164,27.9786381310314,9.61065270490783,2.55496757613501
"h11",7,2404.2,0.385728579301359,1.6,0.635188332169386,52.9533808248732,38.2843948088067,1.91626151544641
"g11",7,1754.6,0.395006237546603,1,0.78358755210138,61.8223773938691,37.0074822947119,1.67061952220877
"f11",7,372.2,0.409831921956639,1,0.88443751650362,26.9038708396644,18.037160272913,1.4917118674932
"e11",7,2429.4,0.410121421771321,1.6,Inf,60.9431050589923,33.2640547694652,135.039119276868
"d11",7,7391.8,0.435006301541016,1.2,0.470234682393414,124.83234134809,75.5134690157972,1.64170636935809
"c11",7,3072.6,0.322573203511495,1,0.647858278790438,82.6679574546313,51.4083021887173,1.60802528067971
"b11",7,8758,0.397634232767648,2.4,0.642486018226397,81.5863279747092,64.2279876976331,1.28093284796351
"a11",7,788.6,0.381389782340609,1,0.618682009739304,45.6352672122077,24.0809301510362,1.89510408688687
"h10",7,2718.6,0.385362828302774,1.6,0.635074152246131,70.8525981300474,36.4631741987525,2.21629668498971
"g10",7,4095,0.373627187352854,1.2,0.686943136628242,88.4634258501161,58.4760147643276,1.53438258171054
"f10",7,2340.8,0.384980036880053,1,0.677615201614169,79.7661135794712,39.8252119125539,2.00283826412299
"e10",7,2247,0.37856527872338,1,0.689678916084699,75.0810598836154,41.4675096199565,1.81064071212326
"d10",7,5144.8,0.303973827368879,1,0.606838265699269,100.831370168695,71.8172703007799,1.40397610066586
"c10",7,6498.8,0.306044165093338,1,0.441417485486456,123.789857849965,79.269027584783,1.56169436890573
"b10",7,5818.4,0.299753799407607,1,0.60632893966133,109.75989217958,75.5638545711705,1.45254980441241
"a10",7,4914.6,0.322025478791418,1.4,0.401951439595709,95.7383347146534,59.1094729058837,2.16493603284084
"h09",7,2354.6,0.368815837320022,1.2,0.718317129860408,66.8456402392809,40.1112783584424,1.86603054591208
"g09",7,2072.6,0.379925909395993,1,0.814236496724997,60.7707739497171,44.4098415961518,1.36842938591639
"f09",7,3198.4,0.404378798042255,2,1.46576135637206,51.732172567552,35.0277315052275,299.853879486538
"e09",7,4782.2,0.399631947377444,1,0.543697358123156,101.828836202276,68.661036188916,1.48305587237829
"d09",7,5164,0.385009301575884,1,0.414343770545172,106.79229235595,76.2686261432502,1.40025210754107
"c09",7,3567,0.377707950861017,1,0.621002370547284,100.297829108135,51.9017922514008,1.932506666454
"b09",7,2529,0.340019409948101,1,0.719299510705363,69.8214948982545,50.2432013350054,1.38964403930857
"a09",7,4059,0.288096929851316,1.2,3.19556714203771,85.3416823965412,52.564821119353,1.89581931954491
"h08",7,1484.8,0.359567479344107,1.8,1.10397459391354,30.7800988614461,25.1274032522071,1.95785863022883
"g08",7,1439.4,0.41819287825948,1,0.747018638204122,61.5094264081448,30.9100665732266,1.99002859423268
"f08",7,1543.2,0.384942647567989,1,0.706408184413813,60.4381362191741,35.5586671994311,1.69966640264837
"e08",7,4746.2,0.395353179705053,1,0.502882193651677,104.639365719429,68.8029260006505,1.52085396807823
"d08",7,5586.4,0.356942086084698,1,0.487671773113793,134.185280460327,60.525235049031,2.2169507989725
"c08",7,3462.6,0.374801600476238,1,0.529483559597217,117.485615685861,42.1162617001869,2.78951389697704
"b08",7,7042.2,0.32536701108255,1,0.445091483438598,131.042868867616,82.5340786706864,1.58775041169023
"a08",7,4499.4,0.304803318614189,1,0.647278202115498,97.7233603233781,63.340058356542,1.54281445702468
"h07",7,3681.8,0.388135960518576,2.2,Inf,56.5700187235676,30.8130828184254,433.38778883465
"g07",7,1882.2,0.415901423844722,1,0.689288086557431,62.4536513348505,43.1873033440087,1.44616017520198
"f07",7,2444.6,0.416826568118582,1,0.678269279312836,77.9593555858861,43.3102880146509,1.79996156639155
"e07",7,2871.8,0.415470839469858,1,0.581297718793033,72.8808994133487,63.1530929002235,1.15403840740121
"d07",7,4065.6,0.351467279083354,1,0.699583940469061,93.0218560852553,58.9702265017643,1.57741475019509
"c07",7,5462.2,0.37395643274973,1,0.601720082157627,93.8558885205764,85.6112670340788,1.09631504863331
"b07",7,2888.8,0.357334780726186,1,0.624739594544444,74.9513890456522,58.268242305224,1.28630823239183
"a07",7,6433.2,0.339586248533908,1.4,0.854348431876659,99.7595639446945,62.1419616105484,1.80388342413939
"h06",7,3451.8,0.39495249375835,1.6,0.661470705027928,63.0835960614507,47.3680134651036,1.32129281168064
"g06",7,5413.6,0.42052907713594,1,0.555051954886257,100.869069620037,78.438876656136,1.28593829447457
"f06",7,2744.6,0.424842179070935,1,0.568562863499051,72.0020464516377,61.997399239303,1.16139023543154
"e06",7,5452,0.40300004022416,1,0.428331504939023,116.06095439118,72.3387562743364,1.60514989601039
"d06",7,3657.8,0.355679539480735,1,0.611842851861067,104.522947811084,49.3703581021142,2.11713303755247
"c06",7,3644,0.375522381391083,1,0.550536135034433,92.5498232075835,54.6314825216991,1.69408963183617
"b06",7,7253.2,0.359700482492887,1.4,0.509933706154719,118.152037487907,72.4548749680311,1.6284959760841
"a06",7,3093.6,0.39358485279668,1.6,0.614863254540041,72.0733848197661,39.0254104168239,2.17475746827848
"h05",7,2369.4,0.368488688593591,1,0.592279190673843,84.0480268716344,38.9482783713649,2.15810508155504
"g05",7,2571.6,0.386856622345219,1,0.720894738123626,75.6914433716667,46.0292015157667,1.64438782324812
"f05",7,2487.8,0.372112813207683,1,0.662604324076143,72.7857369800319,48.4308645494462,1.50292841680536
"e05",7,3077.2,0.375500791321066,1,0.590122342549271,75.7078257182839,62.3551342272507,1.21412907571937
"d05",7,3701,0.305262696763735,1,0.666861600482725,88.3817783477033,57.1113454706213,1.54754901571855
"c05",7,6978.8,0.309001996392552,1,0.435113034282193,153.047088340331,65.7908968030261,2.32628486076249
"b05",7,6220.2,0.311344030759475,1,0.432990131303597,148.083502684919,58.5406215452609,2.5295854293777
"a05",7,4922.6,0.335245938256423,1,0.402617392966754,111.256083508825,72.2194865638896,1.53764543335464
"h04",7,3777.8,0.3484145624113,1.4,0.68049649566751,74.9518574331036,51.4275741631412,1.49753034852229
"g04",7,1260.4,0.421871467323679,1,0.735299153109443,50.6671833610704,33.945724679827,1.49252209438911
"f04",7,2812.6,0.364045720775777,1,0.643341322774462,74.295563861766,55.9947150423479,1.32681105580781
"e04",7,3362.6,0.378558678959716,1,0.59574717930351,83.5472386205096,61.81281084686,1.35158733235286
"d04",7,2312.2,0.341476906763137,1,0.769986246952876,67.0437447895365,45.8369133277488,1.46259986746174
"c04",7,3737.4,0.318541685155151,1,0.666359071601835,89.3951483356314,57.5761441914484,1.55262832210603
"b04",7,4003.2,0.318619903836077,1,0.529073979024667,91.9444362308439,67.7616911507432,1.35697541383604
"a04",7,2928.2,0.380700145266177,1.8,0.738121880639938,59.6469076704247,29.9100415251731,1.83236908586435
"h03",7,2349.4,0.420212096056845,1,0.67905537407238,76.1000161772841,42.0351989409176,1.81023437711389
"g03",7,2715.4,0.423223641431354,1,0.84381008889307,66.1849048389203,52.8765124642339,1.25175772873026
"f03",7,4119.2,0.42028657652702,1,0.764906609142939,92.6854142472449,57.7585318553196,1.60470299957775
"e03",7,3528.4,0.423062792010593,1,0.801843927429527,80.6739311428412,57.1592107021336,1.41140400746947
"d03",7,3770.8,0.440689492364677,1,0.670872336778614,93.3291988443186,55.7127887568485,1.67515653445615
"c03",7,3723.6,0.419098732239219,2,0.727376209810666,63.8865995622593,35.0220530128158,1.78794309895798
"b03",7,3611,0.395839448030097,1,0.728272246151713,90.7750198171115,54.093044788983,1.67810155146567
"a03",7,3752.8,0.39339643823676,1.6,0.807850945034178,68.7207208195518,39.3697042266248,1.75000133862404
"h02",7,1595,0.374650048102302,1.8,1.00171608811479,34.8758619328688,27.3978853549767,1.33331840456963
"g02",7,3001.2,0.353879334215672,1,0.72932448476688,75.9161826159267,54.5736934919981,1.39105816423889
"f02",7,6944.8,0.34217352455964,1,0.517907156562331,124.08642039178,86.8310728161601,1.42922001081952
"e02",7,4025.2,0.354233381476048,1,0.642358765677206,82.5671762268045,68.2614440813007,1.20954338544861
"d02",7,3209.6,0.341380196960016,1,0.69880790097379,82.0769723704598,53.7515251062872,1.52691080561288
"c02",7,1012.2,0.392812077593067,1,0.914465129132722,40.8947986538651,31.6449342865838,1.2924288577597
"b02",7,2615.6,0.331220705826979,1,0.71109583369819,81.9347405994768,43.1443028356476,1.89907844645106
"a02",7,1244.6,0.366098025314649,1,0.872200660255888,47.0236037675269,33.768285219381,1.39264515511334
