Plate,Row,Column,Treatment (Microbe),Treatment (Water),Treatment (Plant) ,600,600 Blank,600 Corrected,Blank 1,Blank 2,Blank 3,Average
1,B,12,WDM,WDM,DR,0.055,0.038,0.017,0.038,0.039,0.038,0.038
1,C,1,DR,WDM,UM,0.054,0.041,0.013,0.043,0.04,0.04,0.041
1,C,2,UM,WDM,UM,0.049,0.04,0.009,0.04,0.04,0.039,0.04
1,C,3,None,WDM,UM,0.046,0.039,0.007,0.039,0.038,0.04,0.039
1,C,4,WDM,WDM,UM,0.053,0.046,0.007,0.062,0.038,0.039,0.046
1,C,5,M,WDM,UM,0.05,0.043,0.007,0.048,0.038,0.044,0.043
1,C,6,None,WDM,DR,0.039,0.044,-0.005,0.039,0.049,0.045,0.044
1,C,7,UM,WDM,DR,0.051,0.052,-0.001,0.059,0.049,0.047,0.052
1,C,8,WDM,WDM,DR,0.055,0.04,0.015,0.041,0.039,0.039,0.04
1,C,9,M,WDM,DR,0.049,0.039,0.01,0.038,0.039,0.039,0.039
1,C,10,DR,WDM,DR,0.065,0.039,0.026,0.041,0.038,0.038,0.039
1,C,11,M,UM,DR,0.08,0.045,0.035,0.056,0.038,0.042,0.045
1,C,12,WDM,UM,DR,1.232,0.039,1.193,0.038,0.039,0.04,0.039
1,D,1,DR,UM,UM,0.617,0.038,0.579,0.038,0.037,0.039,0.038
1,D,2,UM,UM,UM,0.063,0.041,0.022,0.042,0.041,0.04,0.041
1,D,3,None,UM,UM,0.04,0.044,-0.004,0.045,0.043,0.043,0.044
1,D,4,WDM,UM,UM,0.06,0.041,0.019,0.045,0.038,0.04,0.041
1,D,5,M,UM,UM,0.061,0.044,0.017,0.053,0.039,0.039,0.044
1,D,6,None,UM,DR,0.096,0.042,0.054,0.041,0.043,0.043,0.042
1,D,7,UM,UM,DR,0.271,0.043,0.228,0.047,0.039,0.042,0.043
1,D,8,WDM,UM,DR,0.072,0.04,0.032,0.047,0.036,0.037,0.04
1,D,9,M,UM,DR,0.104,0.043,0.061,0.045,0.044,0.039,0.043
1,D,10,DR,UM,DR,0.052,0.039,0.013,0.039,0.04,0.039,0.039
1,D,11,M,DR,DR,0.061,0.041,0.02,0.044,0.039,0.039,0.041
1,D,12,WDM,DR,DR,0.067,0.043,0.024,0.051,0.038,0.039,0.043
1,E,1,DR,WDM,WDM,0.045,0.039,0.006,0.038,0.039,0.039,0.039
1,E,2,UM,WDM,WDM,0.042,0.041,0.001,0.04,0.039,0.044,0.041
1,E,3,None,WDM,WDM,0.042,0.041,0.001,0.044,0.039,0.039,0.041
1,E,4,WDM,WDM,WDM,0.048,0.041,0.007,0.043,0.039,0.041,0.041
1,E,5,M,WDM,WDM,0.061,0.047,0.014,0.058,0.038,0.045,0.047
1,E,6,None,WDM,M,0.041,0.042,-0.001,0.044,0.041,0.042,0.042
1,E,7,UM,WDM,M,0.073,0.051,0.022,0.073,0.039,0.04,0.051
1,E,8,WDM,WDM,M,0.085,0.043,0.042,0.046,0.039,0.043,0.043
1,E,9,M,WDM,M,0.047,0.048,-0.001,0.063,0.039,0.042,0.048
1,E,10,DR,WDM,M,0.074,0.04,0.034,0.04,0.039,0.04,0.04
1,E,11,M,DR,UM,0.059,0.041,0.018,0.043,0.038,0.042,0.041
1,E,12,WDM,DR,UM,0.1,0.043,0.057,0.044,0.043,0.043,0.043
1,F,1,DR,M,WDM,0.061,0.041,0.02,0.04,0.041,0.041,0.041
1,F,2,UM,M,WDM,0.065,0.041,0.024,0.04,0.04,0.043,0.041
1,F,3,None,M,WDM,0.065,0.039,0.026,0.04,0.039,0.039,0.039
1,F,4,WDM,M,WDM,0.064,0.042,0.022,0.05,0.039,0.038,0.042
1,F,5,M,M,WDM,0.041,0.045,-0.004,0.045,0.051,0.039,0.045
1,F,6,None,M,M,0.04,0.048,-0.008,0.067,0.038,0.039,0.048
1,F,7,UM,M,M,0.06,0.045,0.015,0.058,0.039,0.039,0.045
1,F,8,WDM,M,M,0.085,0.042,0.043,0.048,0.039,0.038,0.042
1,F,9,M,M,M,0.053,0.04,0.013,0.042,0.038,0.039,0.04
1,F,10,DR,M,M,0.072,0.039,0.033,0.039,0.039,0.039,0.039
1,F,11,M,WDM,UM,0.048,0.041,0.007,0.039,0.043,0.042,0.041
1,F,12,WDM,WDM,UM,0.054,0.039,0.015,0.039,0.039,0.039,0.039
1,G,1,DR,DR,WDM,0.051,0.04,0.011,0.04,0.038,0.041,0.04
1,G,2,UM,DR,WDM,0.058,0.04,0.018,0.042,0.04,0.039,0.04
1,G,3,None,DR,WDM,0.045,0.04,0.005,0.038,0.041,0.041,0.04
1,G,4,WDM,DR,WDM,0.05,0.038,0.012,0.037,0.037,0.04,0.038
1,G,5,M,DR,WDM,0.042,0.046,-0.004,0.039,0.049,0.051,0.046
1,G,6,None,DR,M,0.041,0.043,-0.002,0.048,0.041,0.04,0.043
1,G,7,UM,DR,M,0.058,0.044,0.014,0.044,0.048,0.04,0.044
1,G,8,WDM,DR,M,0.081,0.05,0.031,0.064,0.041,0.044,0.05
1,G,9,M,DR,M,0.055,0.039,0.016,0.039,0.038,0.039,0.039
1,G,10,DR,DR,M,0.054,0.04,0.014,0.04,0.041,0.04,0.04
1,G,11,M,M,UM,0.08,0.039,0.041,0.038,0.041,0.039,0.039
1,G,12,WDM,M,UM,0.279,0.041,0.238,0.04,0.038,0.046,0.041
1,H,1,DR,UM,WDM,0.049,0.049,0,0.045,0.05,0.051,0.049
1,H,2,UM,UM,WDM,0.049,0.039,0.01,0.038,0.039,0.04,0.039
1,H,3,None,UM,WDM,0.059,0.05,0.009,0.05,0.05,0.049,0.05
1,H,4,WDM,UM,WDM,0.055,0.039,0.016,0.037,0.038,0.043,0.039
1,H,5,M,UM,WDM,0.066,0.046,0.02,0.048,0.043,0.047,0.046
1,H,6,None,UM,M,0.041,0.043,-0.002,0.043,0.039,0.048,0.043
1,H,7,UM,UM,M,0.054,0.04,0.014,0.04,0.04,0.04,0.04
1,H,8,WDM,UM,M,0.05,0.073,-0.023,0.046,0.044,0.128,0.073
1,H,9,M,UM,M,0.059,0.044,0.015,0.044,0.044,0.043,0.044
1,H,10,DR,UM,M,0.054,0.041,0.013,0.041,0.04,0.041,0.041
1,H,11,M,UM,UM,0.061,0.039,0.022,0.04,0.038,0.038,0.039
1,H,12,WDM,UM,UM,0.056,0.042,0.014,0.04,0.039,0.046,0.042
2,A,1,DR,M,DR,0.113,0.044,0.069,,,,
2,A,2,None,M,DR,0.043,0.044,-0.001,,,,
2,A,3,UM,M,WDM,0.221,0.049,0.172,,,,
2,A,4,None,M,WDM,0.047,0.045,0.002,,,,
2,A,5,UM,M,WDM,0.071,0.04,0.031,,,,
2,A,6,M,M,WDM,0.062,0.039,0.023,,,,
2,A,7,WDM,M,WDM,0.056,0.04,0.016,,,,
2,A,8,DR,M,WDM,0.069,0.038,0.031,,,,
2,A,9,DR,M,DR,0.082,0.038,0.044,,,,
2,A,10,UM,M,DR,0.063,0.143,-0.08,,,,
2,A,11,WDM,M,DR,0.099,0.043,0.056,,,,
2,A,12,M,M,DR,0.071,0.04,0.031,,,,
2,B,1,DR,WDM,DR,0.07,0.039,0.031,,,,
2,B,2,None,WDM,DR,0.039,0.038,0.001,,,,
2,B,3,UM,WDM,WDM,0.046,0.038,0.008,,,,
2,B,4,None,WDM,WDM,0.04,0.04,0,,,,
2,B,5,UM,WDM,WDM,0.054,0.04,0.014,,,,
2,B,6,M,WDM,WDM,0.068,0.04,0.028,,,,
2,B,7,WDM,WDM,WDM,0.061,0.04,0.021,,,,
2,B,8,DR,WDM,WDM,0.051,0.04,0.011,,,,
2,B,9,DR,UM,DR,0.049,0.039,0.01,,,,
2,B,10,UM,UM,DR,0.09,0.04,0.05,,,,
2,B,11,WDM,UM,DR,0.051,0.038,0.013,,,,
2,B,12,M,UM,DR,0.062,0.038,0.024,,,,
2,C,1,DR,UM,DR,0.171,0.041,0.13,,,,
2,C,2,None,UM,DR,0.199,0.04,0.159,,,,
2,C,3,UM,UM,WDM,0.309,0.039,0.27,,,,
2,C,4,None,UM,WDM,0.047,0.046,0.001,,,,
2,C,5,UM,UM,WDM,0.05,0.043,0.007,,,,
2,C,6,M,UM,WDM,0.05,0.044,0.006,,,,
2,C,7,WDM,UM,WDM,0.056,0.052,0.004,,,,
2,C,8,DR,UM,WDM,0.054,0.04,0.014,,,,
2,C,9,DR,DR,DR,0.046,0.039,0.007,,,,
2,C,10,UM,DR,DR,0.045,0.039,0.006,,,,
2,C,11,WDM,DR,DR,0.055,0.045,0.01,,,,
2,C,12,M,DR,DR,0.047,0.039,0.008,,,,
2,D,1,DR,DR,DR,0.074,0.038,0.036,,,,
2,D,2,None,DR,DR,0.041,0.041,0,,,,
2,D,3,UM,DR,WDM,0.101,0.044,0.057,,,,
2,D,4,None,DR,WDM,0.04,0.041,-0.001,,,,
2,D,5,UM,DR,WDM,0.05,0.044,0.006,,,,
2,D,6,M,DR,WDM,0.047,0.042,0.005,,,,
2,D,7,WDM,DR,WDM,0.044,0.043,0.001,,,,
2,D,8,DR,DR,WDM,0.143,0.04,0.103,,,,
2,D,9,DR,WDM,DR,0.046,0.043,0.003,,,,
2,D,10,UM,WDM,DR,0.057,0.039,0.018,,,,
2,D,11,WDM,WDM,DR,0.046,0.041,0.005,,,,
2,D,12,M,WDM,DR,0.042,0.043,-0.001,,,,
2,E,1,DR,DR,UM,0.062,0.039,0.023,,,,
2,E,2,None,DR,UM,0.04,0.041,-0.001,,,,
2,E,3,UM,DR,UM,0.078,0.041,0.037,,,,
2,E,4,None,DR,M,0.041,0.041,0,,,,
2,E,5,UM,DR,M,0.056,0.047,0.009,,,,
2,E,6,M,DR,M,0.041,0.042,-0.001,,,,
2,E,7,WDM,DR,M,0.065,0.051,0.014,,,,
2,E,8,DR,DR,M,0.085,0.043,0.042,,,,
2,E,9,DR,UM,UM,0.076,0.048,0.028,,,,
2,E,10,UM,UM,UM,0.051,0.04,0.011,,,,
2,E,11,WDM,UM,UM,0.046,0.041,0.005,,,,
2,E,12,M,UM,UM,0.047,0.043,0.004,,,,
2,F,1,DR,WDM,UM,0.053,0.041,0.012,,,,
2,F,2,None,WDM,UM,0.295,0.041,0.254,,,,
2,F,3,UM,WDM,UM,0.058,0.039,0.019,,,,
2,F,4,None,WDM,M,0.04,0.042,-0.002,,,,
2,F,5,UM,WDM,M,0.042,0.045,-0.003,,,,
2,F,6,M,WDM,M,0.042,0.048,-0.006,,,,
2,F,7,WDM,WDM,M,0.044,0.045,-0.001,,,,
2,F,8,DR,WDM,M,0.072,0.042,0.03,,,,
2,F,9,DR,DR,UM,0.064,0.04,0.024,,,,
2,F,10,UM,DR,UM,0.047,0.039,0.008,,,,
2,F,11,WDM,DR,UM,0.048,0.041,0.007,,,,
2,F,12,M,DR,UM,0.048,0.039,0.009,,,,
2,G,1,DR,M,UM,0.08,0.04,0.04,,,,
2,G,2,None,M,UM,0.039,0.04,-0.001,,,,
2,G,3,UM,M,UM,0.323,0.04,0.283,,,,
2,G,4,None,M,M,0.038,0.038,0,,,,
2,G,5,UM,M,M,0.039,0.046,-0.007,,,,
2,G,6,M,M,M,0.069,0.043,0.026,,,,
2,G,7,WDM,M,M,0.077,0.044,0.033,,,,
2,G,8,DR,M,M,0.108,0.05,0.058,,,,
2,G,9,DR,M,UM,0.072,0.039,0.033,,,,
2,G,10,UM,M,UM,0.103,0.04,0.063,,,,
2,G,11,WDM,M,UM,0.068,0.039,0.029,,,,
2,G,12,M,M,UM,0.066,0.041,0.025,,,,
2,H,1,DR,UM,UM,0.067,0.049,0.018,,,,
2,H,2,None,UM,UM,0.07,0.039,0.031,,,,
2,H,3,UM,UM,UM,0.141,0.05,0.091,,,,
2,H,4,None,UM,M,0.078,0.039,0.039,,,,
2,H,5,UM,UM,M,0.083,0.046,0.037,,,,
2,H,6,M,UM,M,0.051,0.043,0.008,,,,
2,H,7,WDM,UM,M,0.063,0.04,0.023,,,,
2,H,8,DR,UM,M,0.054,0.073,-0.019,,,,
2,H,9,DR,WDM,UM,0.059,0.044,0.015,,,,
2,H,10,UM,WDM,UM,0.131,0.041,0.09,,,,
2,H,11,WDM,WDM,UM,0.055,0.039,0.016,,,,
2,H,12,M,WDM,UM,0.053,0.042,0.011,,,,
3,A,1,None,M,DR,0.039,0.044,-0.005,,,,
3,A,2,DR,M,WDM,0.063,0.044,0.019,,,,
3,A,3,UM,M,WDM,0.055,0.049,0.006,,,,
3,A,4,WDM,M,WDM,0.044,0.045,-0.001,,,,
3,A,5,None,M,WDM,0.05,0.04,0.01,,,,
3,A,6,M,M,WDM,0.062,0.039,0.023,,,,
3,A,7,M,DR,WDM,0.056,0.04,0.016,,,,
3,A,8,None,DR,WDM,0.042,0.038,0.004,,,,
3,A,9,WDM,DR,WDM,0.069,0.038,0.031,,,,
3,A,10,UM,DR,WDM,0.046,0.143,-0.097,,,,
3,A,11,DR,DR,WDM,0.057,0.043,0.014,,,,
3,A,12,DR,DR,DR,0.136,0.04,0.096,,,,
3,B,1,None,UM,DR,0.161,0.039,0.122,,,,
3,B,2,DR,UM,WDM,0.055,0.038,0.017,,,,
3,B,3,UM,UM,WDM,0.046,0.038,0.008,,,,
3,B,4,WDM,UM,WDM,0.053,0.04,0.013,,,,
3,B,5,None,UM,WDM,0.067,0.04,0.027,,,,
3,B,6,M,UM,WDM,0.052,0.04,0.012,,,,
3,B,7,M,M,WDM,0.054,0.04,0.014,,,,
3,B,8,None,M,WDM,0.198,0.04,0.158,,,,
3,B,9,WDM,M,WDM,0.072,0.039,0.033,,,,
3,B,10,UM,M,WDM,0.077,0.04,0.037,,,,
3,B,11,DR,M,WDM,0.076,0.038,0.038,,,,
3,B,12,DR,M,DR,0.072,0.038,0.034,,,,
3,C,1,None,DR,DR,0.041,0.041,0,,,,
3,C,2,DR,DR,WDM,0.082,0.04,0.042,,,,
3,C,3,UM,DR,WDM,0.045,0.039,0.006,,,,
3,C,4,WDM,DR,WDM,0.065,0.046,0.019,,,,
3,C,5,None,DR,WDM,0.043,0.043,0,,,,
3,C,6,M,DR,WDM,0.046,0.044,0.002,,,,
3,C,7,M,UM,WDM,0.056,0.052,0.004,,,,
3,C,8,None,UM,WDM,0.059,0.04,0.019,,,,
3,C,9,WDM,UM,WDM,0.057,0.039,0.018,,,,
3,C,10,UM,UM,WDM,0.052,0.039,0.013,,,,
3,C,11,DR,UM,WDM,0.069,0.045,0.024,,,,
3,C,12,DR,UM,DR,0.07,0.039,0.031,,,,
3,D,1,None,WDM,DR,0.039,0.038,0.001,,,,
3,D,2,DR,WDM,WDM,0.051,0.041,0.01,,,,
3,D,3,UM,WDM,WDM,0.06,0.044,0.016,,,,
3,D,4,WDM,WDM,WDM,0.046,0.041,0.005,,,,
3,D,5,None,WDM,WDM,0.043,0.044,-0.001,,,,
3,D,6,M,WDM,WDM,0.045,0.042,0.003,,,,
3,D,7,M,WDM,WDM,0.059,0.043,0.016,,,,
3,D,8,None,WDM,WDM,0.045,0.04,0.005,,,,
3,D,9,WDM,WDM,WDM,0.046,0.043,0.003,,,,
3,D,10,UM,WDM,WDM,0.052,0.039,0.013,,,,
3,D,11,DR,WDM,WDM,0.048,0.041,0.007,,,,
3,D,12,DR,WDM,DR,0.215,0.043,0.172,,,,
3,E,1,None,UM,UM,0.047,0.039,0.008,,,,
3,E,2,DR,UM,M,0.104,0.041,0.063,,,,
3,E,3,UM,UM,M,0.056,0.041,0.015,,,,
3,E,4,WDM,UM,M,0.081,0.041,0.04,,,,
3,E,5,None,UM,M,0.048,0.047,0.001,,,,
3,E,6,M,UM,M,0.096,0.042,0.054,,,,
3,E,7,M,M,M,0.048,0.051,-0.003,,,,
3,E,8,None,M,M,0.039,0.043,-0.004,,,,
3,E,9,WDM,M,M,0.068,0.048,0.02,,,,
3,E,10,UM,M,M,0.107,0.04,0.067,,,,
3,E,11,DR,M,M,0.096,0.041,0.055,,,,
3,E,12,DR,M,UM,0.108,0.043,0.065,,,,
3,F,1,None,DR,UM,0.12,0.041,0.079,,,,
3,F,2,DR,DR,M,0.08,0.041,0.039,,,,
3,F,3,UM,DR,M,0.183,0.039,0.144,,,,
3,F,4,WDM,DR,M,0.064,0.042,0.022,,,,
3,F,5,None,DR,M,0.04,0.045,-0.005,,,,
3,F,6,M,DR,M,0.06,0.048,0.012,,,,
3,F,7,M,UM,M,0.079,0.045,0.034,,,,
3,F,8,None,UM,M,0.041,0.042,-0.001,,,,
3,F,9,WDM,UM,M,0.065,0.04,0.025,,,,
3,F,10,UM,UM,M,0.153,0.039,0.114,,,,
3,F,11,DR,UM,M,0.082,0.041,0.041,,,,
3,F,12,DR,UM,UM,0.059,0.039,0.02,,,,
3,G,1,None,M,UM,0.054,0.04,0.014,,,,
3,G,2,DR,M,M,0.063,0.04,0.023,,,,
3,G,3,UM,M,M,0.177,0.04,0.137,,,,
3,G,4,WDM,M,M,0.067,0.038,0.029,,,,
3,G,5,None,M,M,0.042,0.046,-0.004,,,,
3,G,6,M,M,M,0.09,0.043,0.047,,,,
3,G,7,M,DR,M,0.069,0.044,0.025,,,,
3,G,8,None,DR,M,0.045,0.05,-0.005,,,,
3,G,9,WDM,DR,M,0.067,0.039,0.028,,,,
3,G,10,UM,DR,M,0.219,0.04,0.179,,,,
3,G,11,DR,DR,M,0.325,0.039,0.286,,,,
3,G,12,DR,DR,UM,0.179,0.041,0.138,,,,
3,H,1,None,WDM,UM,0.048,0.049,-0.001,,,,
3,H,2,DR,WDM,M,0.097,0.039,0.058,,,,
3,H,3,UM,WDM,M,0.049,0.05,-0.001,,,,
3,H,4,WDM,WDM,M,0.075,0.039,0.036,,,,
3,H,5,None,WDM,M,0.042,0.046,-0.004,,,,
3,H,6,M,WDM,M,0.076,0.043,0.033,,,,
3,H,7,M,WDM,M,0.051,0.04,0.011,,,,
3,H,8,None,WDM,M,0.043,0.073,-0.03,,,,
3,H,9,WDM,WDM,M,0.052,0.044,0.008,,,,
3,H,10,UM,WDM,M,0.044,0.041,0.003,,,,
3,H,11,DR,WDM,M,0.121,0.039,0.082,,,,
3,H,12,DR,WDM,UM,0.111,0.042,0.069,,,,
4,A,1,WDM,DR,DR,0.095,0.044,0.051,,,,
4,A,2,None,DR,DR,0.046,0.044,0.002,,,,
4,A,3,M,DR,DR,0.728,0.049,0.679,,,,
4,A,4,UM,DR,DR,0.047,0.045,0.002,,,,
4,A,5,DR,UM,M,0.053,0.04,0.013,,,,
4,A,6,WDM,UM,M,0.043,0.039,0.004,,,,
4,A,7,M,UM,M,0.07,0.04,0.03,,,,
4,A,8,UM,UM,M,0.062,0.038,0.024,,,,
4,A,9,None,UM,M,0.046,0.038,0.008,,,,
4,A,10,DR,UM,DR,0.055,0.143,-0.088,,,,
4,A,11,None,UM,DR,0.051,0.043,0.008,,,,
4,A,12,WDM,UM,DR,0.056,0.04,0.016,,,,
4,B,1,WDM,M,DR,0.062,0.039,0.023,,,,
4,B,2,None,M,DR,0.048,0.038,0.01,,,,
4,B,3,M,M,DR,0.077,0.038,0.039,,,,
4,B,4,UM,M,DR,0.186,0.04,0.146,,,,
4,B,5,DR,M,M,0.072,0.04,0.032,,,,
4,B,6,WDM,M,M,0.098,0.04,0.058,,,,
4,B,7,M,M,M,0.064,0.04,0.024,,,,
4,B,8,UM,M,M,0.151,0.04,0.111,,,,
4,B,9,None,M,M,0.04,0.039,0.001,,,,
4,B,10,DR,M,DR,0.059,0.04,0.019,,,,
4,B,11,None,M,DR,0.04,0.038,0.002,,,,
4,B,12,WDM,M,DR,0.08,0.038,0.042,,,,
4,C,1,WDM,UM,DR,0.059,0.041,0.018,,,,
4,C,2,None,UM,DR,0.045,0.04,0.005,,,,
4,C,3,M,UM,DR,0.059,0.039,0.02,,,,
4,C,4,UM,UM,DR,0.054,0.046,0.008,,,,
4,C,5,DR,DR,M,0.134,0.043,0.091,,,,
4,C,6,WDM,DR,M,0.057,0.044,0.013,,,,
4,C,7,M,DR,M,0.064,0.052,0.012,,,,
4,C,8,UM,DR,M,0.046,0.04,0.006,,,,
4,C,9,None,DR,M,0.04,0.039,0.001,,,,
4,C,10,DR,DR,DR,0.053,0.039,0.014,,,,
4,C,11,None,DR,DR,0.044,0.045,-0.001,,,,
4,C,12,WDM,DR,DR,0.052,0.039,0.013,,,,
4,D,1,WDM,WDM,DR,0.052,0.038,0.014,,,,
4,D,2,None,WDM,DR,0.04,0.041,-0.001,,,,
4,D,3,M,WDM,DR,0.051,0.044,0.007,,,,
4,D,4,UM,WDM,DR,0.043,0.041,0.002,,,,
4,D,5,DR,WDM,M,0.07,0.044,0.026,,,,
4,D,6,WDM,WDM,M,0.064,0.042,0.022,,,,
4,D,7,M,WDM,M,0.058,0.043,0.015,,,,
4,D,8,UM,WDM,M,0.124,0.04,0.084,,,,
4,D,9,None,WDM,M,0.04,0.043,-0.003,,,,
4,D,10,DR,WDM,DR,0.054,0.039,0.015,,,,
4,D,11,None,WDM,DR,0.04,0.041,-0.001,,,,
4,D,12,WDM,WDM,DR,0.056,0.043,0.013,,,,
4,E,1,WDM,M,UM,0.09,0.039,0.051,,,,
4,E,2,None,M,UM,0.041,0.041,0,,,,
4,E,3,M,M,UM,0.056,0.041,0.015,,,,
4,E,4,UM,M,UM,0.069,0.041,0.028,,,,
4,E,5,DR,M,WDM,0.051,0.047,0.004,,,,
4,E,6,WDM,M,WDM,0.054,0.042,0.012,,,,
4,E,7,M,M,WDM,0.044,0.051,-0.007,,,,
4,E,8,UM,M,WDM,0.054,0.043,0.011,,,,
4,E,9,None,M,WDM,0.042,0.048,-0.006,,,,
4,E,10,DR,M,UM,0.059,0.04,0.019,,,,
4,E,11,None,M,UM,0.04,0.041,-0.001,,,,
4,E,12,WDM,M,UM,0.063,0.043,0.02,,,,
4,F,1,WDM,UM,UM,0.071,0.041,0.03,,,,
4,F,2,None,UM,UM,0.044,0.041,0.003,,,,
4,F,3,M,UM,UM,0.055,0.039,0.016,,,,
4,F,4,UM,UM,UM,0.053,0.042,0.011,,,,
4,F,5,DR,WDM,WDM,0.051,0.045,0.006,,,,
4,F,6,WDM,WDM,WDM,0.043,0.048,-0.005,,,,
4,F,7,M,WDM,WDM,0.05,0.045,0.005,,,,
4,F,8,UM,WDM,WDM,0.042,0.042,0,,,,
4,F,9,None,WDM,WDM,0.039,0.04,-0.001,,,,
4,F,10,DR,WDM,UM,0.052,0.039,0.013,,,,
4,F,11,None,WDM,UM,0.04,0.041,-0.001,,,,
4,F,12,WDM,WDM,UM,0.06,0.039,0.021,,,,
4,G,1,WDM,DR,UM,0.046,0.04,0.006,,,,
4,G,2,None,DR,UM,0.041,0.04,0.001,,,,
4,G,3,M,DR,UM,0.066,0.04,0.026,,,,
4,G,4,UM,DR,UM,0.044,0.038,0.006,,,,
4,G,5,DR,DR,WDM,0.047,0.046,0.001,,,,
4,G,6,WDM,DR,WDM,0.047,0.043,0.004,,,,
4,G,7,M,DR,WDM,1.533,0.044,1.489,,,,
4,G,8,UM,DR,WDM,0.054,0.05,0.004,,,,
4,G,9,None,DR,WDM,0.041,0.039,0.002,,,,
4,G,10,DR,DR,UM,0.046,0.04,0.006,,,,
4,G,11,None,DR,UM,0.041,0.039,0.002,,,,
4,G,12,WDM,DR,UM,0.054,0.041,0.013,,,,
4,H,1,WDM,WDM,UM,0.05,0.049,0.001,,,,
4,H,2,None,WDM,UM,0.042,0.039,0.003,,,,
4,H,3,M,WDM,UM,0.076,0.05,0.026,,,,
4,H,4,UM,WDM,UM,0.053,0.039,0.014,,,,
4,H,5,DR,UM,WDM,0.056,0.046,0.01,,,,
4,H,6,WDM,UM,WDM,0.054,0.043,0.011,,,,
4,H,7,M,UM,WDM,0.046,0.04,0.006,,,,
4,H,8,UM,UM,WDM,0.06,0.073,-0.013,,,,
4,H,9,None,UM,WDM,0.049,0.044,0.005,,,,
4,H,10,DR,UM,UM,0.062,0.041,0.021,,,,
4,H,11,None,UM,UM,0.043,0.039,0.004,,,,
4,H,12,WDM,UM,UM,0.063,0.042,0.021,,,,
5,A,1,UM,UM,DR,0.186,0.044,0.142,,,,
5,A,2,M,UM,DR,0.113,0.044,0.069,,,,
5,A,3,UM,WDM,M,0.647,0.049,0.598,,,,
5,A,4,WDM,WDM,M,0.053,0.045,0.008,,,,
5,A,5,None,WDM,M,0.047,0.04,0.007,,,,
5,A,6,M,WDM,M,0.054,0.039,0.015,,,,
5,A,7,DR,WDM,M,0.068,0.04,0.028,,,,
5,A,8,UM,WDM,WDM,0.065,0.038,0.027,,,,
5,A,9,WDM,WDM,WDM,0.053,0.038,0.015,,,,
5,A,10,DR,WDM,WDM,0.061,0.143,-0.082,,,,
5,A,11,None,WDM,WDM,0.045,0.043,0.002,,,,
5,A,12,M,WDM,WDM,0.052,0.04,0.012,,,,
5,B,1,UM,M,DR,0.154,0.039,0.115,,,,
5,B,2,M,M,DR,0.058,0.038,0.02,,,,
5,B,3,UM,UM,M,0.049,0.038,0.011,,,,
5,B,4,WDM,UM,M,0.064,0.04,0.024,,,,
5,B,5,None,UM,M,0.039,0.04,-0.001,,,,
5,B,6,M,UM,M,0.05,0.04,0.01,,,,
5,B,7,DR,UM,M,0.052,0.04,0.012,,,,
5,B,8,UM,UM,WDM,0.178,0.04,0.138,,,,
5,B,9,WDM,UM,WDM,0.081,0.039,0.042,,,,
5,B,10,DR,UM,WDM,0.086,0.04,0.046,,,,
5,B,11,None,UM,WDM,0.041,0.038,0.003,,,,
5,B,12,M,UM,WDM,0.065,0.038,0.027,,,,
5,C,1,UM,DR,DR,0.051,0.041,0.01,,,,
5,C,2,M,DR,DR,0.049,0.04,0.009,,,,
